;año,mes,73001,73031,73061,73081,73082,73083,73084,73141,73171,73172,73173,73174,73201,73211,73212,73214,73215,73221,73222,73301,73311,73321,73351,73352,73353,73361,73391,73411,73431,73432,73501,73502,73511,73541,73542,73551,73552,73554,73555,73561,73581,73584,73591,73592,73721,73741,73742,73743,73781,73782,73783,73784,73791,73811,73831,DUMMY
2006,2,0.174999997,37.77000046,24.26000023,125.3000031,1.080000043,14.98999977,1.100000024,,,18.54999924,0.75999999,59.04999924,20.87000084,,21.81999969,161.8999939,20.40999985,18.31999969,9.371999741,3.140000105,,0.860000014,,1.345999956,,0.416999996,0.611999989,0.238000005,,1.046000004,,11.53999996,11.43999958,,15.01000023,19.54000092,,,2.401000023,,,30.79999924,8.159999847,4.627999783,5.084000111,9.517999649,25.13999939,21.31999969,29.04999924,18.52000046,1.470000029,,36.84000015,4.989999771,186.1999969,-9999
2006,3,5.227000237,25.92000008,4.440000057,82.15000153,0.666999996,0.976999998,1.041000009,,,18.27000046,0.765999973,26.23999977,14.38000011,,17.12000084,96,15.09000015,12.80000019,5.981999874,2.217000008,,1.077000022,,0.802999973,,0.391000003,0.435000002,0.284999996,,0.927999973,,6.388000011,18.02000046,,6.605000019,17.81999969,,,2.34100008,,,30.79999924,5.977000237,3.618000031,3.897000074,3.301000118,13.75,14.47999954,17.18000031,9.923000336,0.68900001,,27.64999962,6.103000164,255.6000061,-9999
2006,4,13.22000027,70.05000305,0.100000001,98.01000214,1.167999983,6.19299984,0.954999983,,,11.28999996,0.824000001,38.77000046,14.44999981,,11.90999985,126.6999969,9.069999695,8.222999573,3.773000002,13.56999969,,,,1.824000001,,0.702000022,1.04400003,,,1.207999945,,15.39000034,48.36999893,,14.36999989,13.35000038,,,1.485000014,,,30.79999924,2.799000025,1.636000037,6.419000149,2.763999939,7.366000175,8.604000092,8.661000252,5.231999874,1.226999998,,34.58000183,5.010000229,347,-9999
2006,5,18.51000023,66.75,0.114,101,2.680000067,8.826000214,0.284999996,,,4.938000202,6.485000134,55.25,17.45999908,,12.09000015,140.8000031,10.47000027,4.422999859,1.572999954,36.79000092,,69.91999817,,3.079999924,,1.649999976,2.592999935,,,1.519999981,,33.93999863,94.55000305,,30.31999969,15.68000031,,,0.680000007,,,30.79999924,1.039999962,0.533999979,11.93999958,6.097000122,1.304999948,4.498000145,1.414000034,2.38499999,1.595999956,,44.36000061,3.486000061,467.1000061,-9999
2006,6,5.822000027,53.75999832,0.169,110.6999969,10.69999981,5.467999935,0.172999993,,,0,57.90000153,184.8000031,44.18000031,,2.903000116,245.6999969,2.221999884,1.105999947,0.246999994,131.1999969,,197.6000061,,14.02000046,,26.97999954,39.75,,,13.59000015,,141.6000061,621.2999878,,144.6000061,60.31000137,,,0.108000003,,,30.79999924,0.661000013,0.169,45.40999985,40.68999863,3.553999901,0.760999978,3.290999889,4.089000225,1.822000027,,210.8999939,9.907999992,1306,-9999
2006,7,4.171000004,,,,,,,,,0,99.95999908,218,,,,,,,,143.3999939,,272.7000122,,,,78.05999756,,,,35.61999893,,143.1999969,,,199.8999939,77.51999664,,,,,,,,,69.48000336,56.56999969,,,1.444000006,,1.64199996,,237.6999969,,2021,-9999
2006,8,4.215000153,,,,,,,,,0,8.484999657,107.3000031,,,,,,,,,,90.72000122,,,,,,,,14.18999958,,70.33000183,,,125.5,44.77999878,,,,,,,,,54.15000153,48.59999847,,,0.77700001,,2.548000097,,192,,1359,-9999
2006,9,5.028999805,,,116,,,,,,0,3.453000069,119.6999969,,,,,,,,60.97000122,,69.13999939,,,,7.539999962,,,,4.09800005,,63.00999832,,,86.77999878,29.39999962,,,,,,,,,36.18999863,33.36000061,,,4.790999889,,0.776000023,,116.1999969,,893.4000244,-9999
2006,10,4.735000134,78.91000366,,107.5999985,,,,,,0,19.15999985,201.3000031,,,,,,,,49.04999924,,44.84999847,,,,3.523999929,,,,3.075000048,,58.36000061,178,,88.15000153,26.34000015,,,,,,,,,37.34999847,36.11999893,,,15.47000027,,1.764000058,,129.5,,840.7999878,-9999
2006,11,,,,115,,,,,,,21.70999908,242.5,,,,,,,,23.27000046,,6.264999866,,,,1.511000037,,,,1.491000056,,36.45000076,60.06000137,,59.68999863,19.21999931,,,,,,,,,17.5,19.15999985,,,27.5,,3.392999887,,70.33999634,,625.4000244,-9999
