#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1984,1,42.5,0.00,0.00,0.00,0.00,0.00,12.99,14.05,15.10,16.16,17.58
1984,2,32.9,7.80,7.90,7.90,8.00,8.10,13.07,13.78,14.49,15.19,16.14
1984,3,28,15.20,15.30,15.40,15.50,15.70,11.33,12.06,12.79,13.52,14.50
1984,4,23.5,43.30,43.50,43.60,43.80,44.10,7.21,8.08,8.95,9.82,10.99
1984,5,23.2,595.00,597.40,599.90,602.40,605.70,1.55,2.47,3.39,4.32,5.55
1984,6,21.8,389.10,390.70,392.30,394.00,396.10,-1.29,-0.36,0.57,1.50,2.74
1984,7,23.5,1062.70,1067.10,1071.50,1075.90,1081.90,-2.93,-1.79,-0.66,0.48,2.01
1984,8,21.5,170.20,170.90,171.60,172.30,173.20,-1.74,-0.63,0.47,1.58,3.07
1984,9,25.2,274.10,275.20,276.30,277.50,279.00,-0.20,1.24,2.68,4.12,6.05
1984,10,45.9,233.80,234.70,235.70,236.70,238.00,3.27,4.43,5.60,6.76,8.33
1984,11,67.1,19.10,19.20,19.30,19.40,19.50,4.91,6.14,7.37,8.60,10.25
1984,12,110.4,0.00,0.00,0.00,0.00,0.00,9.01,10.00,11.00,11.99,13.32
1985,1,92.6,2.10,2.10,2.10,2.10,2.20,11.58,12.52,13.46,14.40,15.66
1985,2,59.2,0.00,0.00,0.00,0.00,0.00,12.86,13.56,14.25,14.95,15.88
1985,3,43.2,46.20,46.40,46.60,46.70,47.00,10.34,11.01,11.68,12.34,13.24
1985,4,35.2,106.20,106.90,107.60,108.30,109.30,5.91,6.63,7.34,8.05,9.01
1985,5,30.5,367.10,369.60,372.10,374.60,377.90,1.88,3.00,4.12,5.24,6.75
1985,6,27.9,207.70,209.10,210.50,211.90,213.80,-2.00,-0.56,0.88,2.33,4.26
1985,7,27.9,443.60,446.60,449.60,452.60,456.60,-3.19,-1.95,-0.71,0.52,2.19
1985,8,23.4,34.80,35.00,35.20,35.50,35.80,-1.82,-0.66,0.50,1.66,3.21
1985,9,22.9,198.50,199.90,201.20,202.60,204.40,-0.19,1.21,2.61,4.00,5.88
1985,10,29.2,292.60,294.60,296.60,298.50,301.20,3.16,4.29,5.41,6.54,8.05
1985,11,52.5,63.90,64.30,64.80,65.20,65.80,5.41,6.77,8.12,9.48,11.30
1985,12,46,0.00,0.00,0.00,0.00,0.00,9.29,10.31,11.34,12.36,13.73
1986,1,30,1.90,1.90,1.90,1.90,1.90,11.27,12.18,13.09,14.01,15.24
1986,2,25.2,0.00,0.00,0.00,0.00,0.00,13.10,13.81,14.52,15.23,16.17
1986,3,22.5,30.00,30.20,30.40,30.60,30.90,10.33,11.00,11.67,12.34,13.23
1986,4,24.4,323.20,324.40,325.70,327.00,328.60,6.48,7.26,8.04,8.83,9.88
1986,5,29.7,533.10,535.10,537.20,539.30,542.00,1.92,3.07,4.21,5.36,6.89
1986,6,47.1,931.70,935.30,938.90,942.50,947.40,-1.65,-0.46,0.73,1.92,3.51
1986,7,34.8,233.90,234.80,235.70,236.60,237.80,-3.08,-1.88,-0.69,0.51,2.11
1986,8,30.3,435.70,437.30,439.00,440.70,443.00,-1.98,-0.72,0.54,1.80,3.49
1986,9,29,59.70,59.90,60.20,60.40,60.70,-0.18,1.16,2.51,3.85,5.66
1986,10,49.1,125.50,126.00,126.50,126.90,127.60,3.76,5.10,6.44,7.78,9.58
1986,11,60.4,310.30,311.50,312.70,313.90,315.50,4.99,6.24,7.49,8.75,10.43
1986,12,87.1,0.00,0.00,0.00,0.00,0.00,9.83,10.91,11.99,13.08,14.53
1987,1,67.1,0.00,0.00,0.00,0.00,0.00,12.74,13.78,14.81,15.85,17.23
1987,2,46.9,0.00,0.00,0.00,0.00,0.00,14.31,15.09,15.86,16.63,17.67
1987,3,37.2,93.40,93.70,94.10,94.40,94.90,11.42,12.16,12.90,13.64,14.63
1987,4,30,12.10,12.20,12.20,12.30,12.30,6.46,7.24,8.02,8.80,9.84
1987,5,27,290.40,291.70,292.90,294.20,295.90,1.67,2.66,3.65,4.64,5.97
1987,6,26.2,151.80,152.50,153.10,153.80,154.70,-1.84,-0.51,0.81,2.13,3.91
