," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Oct-28,1.8992,2.07059,1.52345,1.89635,2.38244,1.62941,1.20193,3.72224,1.753,3.58681,1.81497,3.60105,2.68356,2.65754,3.98519
Nov-28,3.07937,3.96201,2.71869,3.36998,5.91038,3.88395,2.12176,6.57633,2.66491,6.06477,2.89603,6.87996,4.54633,4.91451,6.22409
Dec-28,2.23928,3.33738,2.07047,2.49052,4.33099,3.36679,2.79425,5.16817,2.19237,6.08753,2.54234,4.88008,3.41543,4.7927,4.46461
Jan-29,1.77577,2.38921,1.81693,2.0019,3.13615,2.49387,2.7761,3.70653,1.70793,4.93296,1.96182,3.08538,2.2215,3.273,3.10574
Feb-29,1.32202,1.68623,1.32688,1.53832,2.03983,1.84283,2.12364,2.34896,1.28654,3.00456,1.59612,2.28477,1.63088,2.18306,2.15681
Mar-29,0.875861,1.10763,0.973115,1.0214,1.30412,1.42758,1.37745,1.57328,0.881945,1.79784,1.25221,1.47194,1.0612,1.54237,1.3438
Apr-29,0.902892,1.3967,0.892948,0.926701,1.16219,1.10432,1.09147,1.22088,0.724869,1.33619,0.953566,1.16886,0.846806,1.19677,1.07827
May-29,1.26123,1.64753,1.34178,0.993328,1.68749,1.27912,1.44416,1.39556,0.767591,2.35397,0.847558,0.930515,0.877709,1.81224,0.949338
Jun-29,1.16347,2.69708,1.51422,0.856151,1.36656,1.94762,1.50825,2.12686,0.744503,2.91553,1.46747,1.03507,1.0594,2.93087,0.939256
Jul-29,0.974679,3.5307,1.78505,1.25888,2.27271,3.0813,1.6051,2.52155,0.83834,2.09025,1.6459,1.3197,1.91848,4.02449,1.7411
Aug-29,0.90363,2.20581,1.3706,1.03,1.7864,2.07134,1.4065,2.1026,0.918008,1.76044,1.34719,1.29615,1.82067,2.67777,2.13085
