Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2028-08-01,196.2012265,188.9411302,143.4033444,174.1484027,224.5026251,189.3586429,375.9788006,137.5145961,493.9265102,165.8342891,420.6673092,221.7685324,282.8810452,292.8759584
2028-09-01,189.5129807,171.8609009,285.581276,182.2420876,240.8475898,192.7184318,494.8547053,162.0259327,575.214837,162.2860138,478.3280475,199.1154825,412.4629098,370.4392433
2028-10-01,233.76738,253.5381405,201.9736861,225.3045856,272.6833793,232.5514771,448.5033564,230.7404459,470.343516,229.6012142,443.3674972,284.1581236,331.0559073,437.1102888
2028-11-01,349.3014881,378.2513299,313.7838728,341.7002416,438.7986256,375.3531175,516.4622712,312.1149261,557.1990808,325.7362869,503.0723797,387.9578238,457.0826133,497.6469508
2028-12-01,304.7799825,346.1714786,235.4119815,299.7678468,395.7590348,348.7445868,452.1660526,282.999684,494.5080073,309.3980507,443.7125066,364.9927122,407.8673764,404.9101257
2029-01-01,292.9394394,320.5023504,236.6943022,274.6989201,385.5194005,321.7504213,408.6340554,219.9295778,458.2477531,242.3712433,409.1439658,315.5207559,410.3825726,412.2128355
2029-02-01,267.0881473,290.2443442,186.3182667,227.3895339,321.3423667,300.7874211,417.4493855,183.8896882,414.5459215,236.1837233,414.5149404,293.8563477,395.3897139,381.7063931
2029-03-01,156.4740486,171.0589844,126.0187519,144.459628,201.8786564,208.969707,277.1163065,113.1298429,277.0123804,182.2653272,265.5559306,173.6879513,245.5563326,216.4600051
2029-04-01,173.0832625,252.1431404,138.0575008,145.3841447,173.4069644,153.7383043,192.8968018,101.5283881,225.801132,136.3292555,179.8771488,209.649568,172.8948014,162.5710894
2029-05-01,171.529966,198.9238896,174.8186009,131.5330544,563.6240168,160.383056,256.6300616,109.4571747,416.0127182,105.9104871,119.9089925,118.2155242,269.4169087,124.4784458
2029-06-01,284.4447675,288.3250735,369.0440986,175.4351799,191.4125628,500.4946129,665.7633586,148.7754852,514.0354712,335.8302082,199.2641917,244.7493296,731.5723348,534.5082992
2029-07-01,114.038988,312.0635014,195.3447495,172.4190208,273.4131323,333.1152855,261.4991848,113.6101553,366.1303794,284.2943572,571.1940574,245.9511002,446.4623615,249.9710486
