#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1990,6,1215.3,1193.3,1171.2,1149.2,1127.1,1105.1,1083.1,1061
1990,7,493.9,484.9,475.9,467,458,449.1,440.1,431.2
1990,8,229,224.8,220.7,216.5,212.4,208.2,204.1,199.9
1990,9,412.3,404.8,397.3,389.8,382.4,374.9,367.4,359.9
1990,10,131.9,129.5,127.1,124.7,122.3,120,117.6,115.2
1990,11,27.3,26.8,26.3,25.8,25.3,24.8,24.4,23.9
1990,12,21.1,20.7,20.4,20,19.6,19.2,18.8,18.4
1991,1,3.4,3.3,3.3,3.2,3.1,3.1,3,3
1991,2,10.5,10.3,10.1,9.9,9.7,9.6,9.4,9.2
1991,3,33.1,32.5,31.9,31.3,30.7,30.1,29.5,28.9
1991,4,401.2,393.2,385.1,377,369,360.9,352.8,344.8
1991,5,402.5,394.4,386.3,378.2,370.1,362,353.9,345.9
1991,6,440.4,431.5,422.7,413.8,405,396.1,387.3,378.4
1991,7,377.3,369.7,362.2,354.6,347,339.4,331.8,324.2
1991,8,111.5,109.3,107,104.8,102.5,100.3,98.1,95.8
1991,9,403.8,395.7,387.6,379.4,371.3,363.2,355.1,347
1991,10,324.4,317.9,311.4,304.9,298.3,291.8,285.3,278.8
1991,11,69.7,68.3,66.9,65.5,64.1,62.7,61.3,59.9
1991,12,0,0,0,0,0,0,0,0
1992,1,0,0,0,0,0,0,0,0
1992,2,0,0,0,0,0,0,0,0
1992,3,63.6,62.3,61,59.7,58.5,57.2,55.9,54.6
1992,4,320.7,315.5,310.2,305,299.7,294.5,289.2,284
1992,5,624,613.8,603.6,593.4,583.2,573,562.7,552.5
1992,6,676,664.9,653.8,642.8,631.7,620.6,609.6,598.5
1992,7,1124.6,1106.2,1087.8,1069.4,1051,1032.5,1014.1,995.7
1992,8,137.1,134.8,132.6,130.4,128.1,125.9,123.6,121.4
1992,9,106,104.3,102.5,100.8,99.1,97.3,95.6,93.9
1992,10,42.5,41.8,41.1,40.4,39.7,39,38.3,37.7
1992,11,25.1,24.7,24.3,23.8,23.4,23,22.6,22.2
1992,12,98.3,96.6,95,93.4,91.8,90.2,88.6,87
1993,1,0,0,0,0,0,0,0,0
1993,2,16.1,15.8,15.5,15.3,15,14.7,14.5,14.2
1993,3,14.2,14,13.8,13.5,13.3,13.1,12.8,12.6
1993,4,70.9,69,67.2,65.3,63.5,61.6,59.8,58
1993,5,271.5,264.5,257.4,250.3,243.3,236.2,229.2,222.1
1993,6,151.7,147.8,143.9,139.9,136,132,128.1,124.1
1993,7,285.2,277.8,270.4,263,255.6,248.2,240.7,233.3
1993,8,310.1,302,294,285.9,277.8,269.8,261.7,253.6
1993,9,97.9,95.3,92.8,90.2,87.7,85.2,82.6,80.1
1993,10,486,473.4,460.8,448.1,435.5,422.8,410.2,397.6
1993,11,288.5,281,273.5,266,258.5,251,243.5,236
1993,12,24.9,24.3,23.6,23,22.3,21.7,21,20.4
1994,1,12.9,12.6,12.2,11.9,11.6,11.2,10.9,10.6
1994,2,0,0,0,0,0,0,0,0
1994,3,5.1,4.9,4.8,4.7,4.5,4.4,4.3,4.1
1994,4,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1
1994,5,1028.4,1011.5,994.5,977.6,960.6,943.6,926.7,909.7
1994,6,953.9,938.1,922.4,906.7,891,875.2,859.5,843.8
1994,7,573.4,563.9,554.5,545,535.6,526.1,516.6,507.2
1994,8,194.9,191.7,188.4,185.2,182,178.8,175.6,172.4
1994,9,111.5,109.7,107.9,106,104.2,102.3,100.5,98.7
1994,10,131.4,129.2,127,124.9,122.7,120.5,118.4,116.2
1994,11,11.6,11.4,11.2,11,10.8,10.6,10.4,10.3
1994,12,0,0,0,0,0,0,0,0
1995,1,9.3,9.1,9,8.8,8.7,8.5,8.4,8.2
1995,2,49,48.2,47.4,46.6,45.8,45,44.2,43.4
1995,3,91.7,90.2,88.7,87.1,85.6,84.1,82.6,81.1
1995,4,45,43.9,42.9,41.8,40.8,39.7,38.6,37.6
1995,5,156.8,153.1,149.4,145.8,142.1,138.4,134.7,131.1
1995,6,913.2,891.9,870.5,849.1,827.7,806.3,784.9,763.5
1995,7,585.8,572.1,558.4,544.6,530.9,517.2,503.5,489.8
1995,8,154.5,150.9,147.3,143.7,140,136.4,132.8,129.2
1995,9,44.1,43.1,42.1,41,40,39,37.9,36.9
1995,10,20.9,20.4,19.9,19.4,18.9,18.4,17.9,17.5
1995,11,0,0,0,0,0,0,0,0
1995,12,275.6,269.2,262.7,256.2,249.8,243.3,236.9,230.4
1996,1,0,0,0,0,0,0,0,0
1996,2,27.3,26.6,26,25.4,24.7,24.1,23.4,22.8
1996,3,3.2,3.1,3.1,3,2.9,2.8,2.8,2.7
1996,4,158.6,156.1,153.5,150.9,148.4,145.8,143.3,140.7
1996,5,491.4,483.4,475.5,467.6,459.7,451.7,443.8,435.9
1996,6,742,730,718,706.1,694.1,682.1,670.1,658.1
1996,7,562.6,553.5,544.4,535.4,526.3,517.2,508.1,499
1996,8,433.9,426.9,419.9,412.9,405.9,398.9,391.9,384.9
1996,9,537.8,529.2,520.5,511.8,503.1,494.4,485.7,477.1
1996,10,86.8,85.4,84,82.6,81.2,79.8,78.4,77
1996,11,76.2,75,73.8,72.5,71.3,70.1,68.8,67.6
1996,12,14.6,14.4,14.1,13.9,13.6,13.4,13.2,12.9
1997,1,33.3,32.8,32.2,31.7,31.1,30.6,30.1,29.5
1997,2,0,0,0,0,0,0,0,0
1997,3,92.4,90.9,89.4,88,86.5,85,83.5,82
1997,4,338.8,331.1,323.4,315.6,307.9,300.2,292.5,284.7
1997,5,355.6,347.5,339.4,331.3,323.2,315,306.9,298.8
1997,6,261.6,255.7,249.7,243.8,237.8,231.8,225.9,219.9
1997,7,469.4,458.7,448,437.3,426.6,415.9,405.2,394.5
1997,8,176.8,172.8,168.8,164.7,160.7,156.7,152.7,148.6
1997,9,256.8,251,245.1,239.3,233.4,227.6,221.7,215.9
1997,10,85.6,83.7,81.7,79.8,77.8,75.9,73.9,72
1997,11,214.1,209.2,204.4,199.5,194.6,189.7,184.8,180
1997,12,113.2,110.6,108,105.5,102.9,100.3,97.7,95.1
1998,1,7,6.9,6.7,6.6,6.4,6.2,6.1,5.9
1998,2,0,0,0,0,0,0,0,0
1998,3,7.8,7.6,7.4,7.3,7.1,6.9,6.7,6.6
1998,4,905.2,894.6,884.1,873.6,863,852.5,841.9,831.4
1998,5,818.3,808.8,799.3,789.7,780.2,770.7,761.2,751.6
1998,6,199.3,197,194.6,192.3,190,187.7,185.4,183
1998,7,361.1,356.9,352.7,348.5,344.3,340.1,335.9,331.7
1998,8,469,463.5,458.1,452.6,447.2,441.7,436.2,430.8
1998,9,702.4,694.2,686,677.8,669.6,661.5,653.3,645.1
1998,10,549.2,542.8,536.4,530,523.6,517.2,510.9,504.5
1998,11,358,353.8,349.7,345.5,341.3,337.2,333,328.8
1998,12,101.8,100.6,99.4,98.2,97,95.8,94.6,93.5
1999,1,0,0,0,0,0,0,0,0
1999,2,0,0,0,0,0,0,0,0
1999,3,13.6,13.5,13.3,13.2,13,12.8,12.7,12.5
1999,4,6,5.9,5.9,5.8,5.7,5.6,5.5,5.4
1999,5,645.5,636.8,628,619.2,610.5,601.7,592.9,584.2
1999,6,792.6,781.9,771.1,760.3,749.6,738.8,728,717.3
1999,7,727.7,717.8,707.9,698,688.1,678.3,668.4,658.5
1999,8,889.3,877.2,865.1,853,841,828.9,816.8,804.7
1999,9,365.5,360.5,355.6,350.6,345.6,340.7,335.7,330.7
1999,10,49.7,49,48.3,47.7,47,46.3,45.6,45
1999,11,0,0,0,0,0,0,0,0
1999,12,70.6,69.7,68.7,67.7,66.8,65.8,64.9,63.9
2000,1,64.4,63.6,62.7,61.8,60.9,60.1,59.2,58.3
2000,2,181.1,178.6,176.1,173.7,171.2,168.8,166.3,163.8
2000,3,46.1,45.5,44.9,44.2,43.6,43,42.4,41.7
2000,4,52.5,51.1,49.7,48.3,46.8,45.4,44,42.6
2000,5,174.1,169.4,164.7,160,155.3,150.5,145.8,141.1
2000,6,793.2,771.7,750.2,728.8,707.3,685.8,664.4,642.9
2000,7,195.9,190.6,185.3,180,174.7,169.4,164.1,158.8
2000,8,111.8,108.8,105.8,102.7,99.7,96.7,93.7,90.6
2000,9,262.4,255.3,248.2,241.1,234,226.9,219.8,212.7
2000,10,39.3,38.2,37.1,36.1,35,34,32.9,31.8
2000,11,2.6,2.5,2.4,2.3,2.3,2.2,2.1,2.1
2000,12,230.4,224.2,218,211.7,205.5,199.2,193,186.8
2001,1,24.3,23.6,22.9,22.3,21.6,21,20.3,19.7
2001,2,9.7,9.5,9.2,8.9,8.7,8.4,8.1,7.9
2001,3,30,29.2,28.4,27.6,26.8,26,25.2,24.3
2001,4,101.7,99.3,96.9,94.5,92.1,89.7,87.4,85
2001,5,0,0,0,0,0,0,0,0
2001,6,534.4,521.8,509.3,496.7,484.2,471.6,459.1,446.5
2001,7,195.8,191.2,186.6,182,177.4,172.8,168.2,163.6
2001,8,197.6,192.9,188.3,183.7,179,174.4,169.7,165.1
2001,9,552.3,539.4,526.4,513.4,500.4,487.5,474.5,461.5
