#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1993,7,576.5,567,557.4,547.9,538.3,528.8,519.2,509.7
1993,8,195.1,191.8,188.6,185.4,182.1,178.9,175.7,172.5
1993,9,112.2,110.3,108.5,106.6,104.7,102.9,101,99.2
1993,10,130.9,128.7,126.6,124.4,122.2,120.1,117.9,115.7
1993,11,11.9,11.7,11.5,11.3,11.1,10.9,10.7,10.5
1993,12,0,0,0,0,0,0,0,0
1994,1,9.3,9.1,9,8.8,8.7,8.5,8.3,8.2
1994,2,48.9,48,47.2,46.4,45.6,44.8,44,43.2
1994,3,91.8,90.3,88.8,87.3,85.7,84.2,82.7,81.2
1994,4,44.9,43.8,42.8,41.7,40.7,39.7,38.6,37.6
1994,5,156.2,152.6,148.9,145.3,141.6,138,134.4,130.7
1994,6,911.4,890.2,869,847.7,826.5,805.3,784.1,762.8
1994,7,583.4,569.8,556.2,542.6,529,515.4,501.9,488.3
1994,8,154.1,150.5,146.9,143.3,139.7,136.1,132.5,129
1994,9,44.1,43.1,42.1,41,40,39,37.9,36.9
1994,10,20.9,20.4,19.9,19.4,18.9,18.4,17.9,17.5
1994,11,0,0,0,0,0,0,0,0
1994,12,274.6,268.2,261.8,255.4,249,242.6,236.2,229.8
1995,1,0,0,0,0,0,0,0,0
1995,2,46.3,45.3,44.2,43.1,42,40.9,39.9,38.8
1995,3,3.2,3.2,3.1,3,2.9,2.9,2.8,2.7
1995,4,158.9,156.4,153.8,151.2,148.7,146.1,143.5,141
1995,5,490.5,482.5,474.6,466.7,458.8,450.8,442.9,435
1995,6,741.6,729.6,717.6,705.6,693.6,681.7,669.7,657.7
1995,7,561.9,552.8,543.7,534.7,525.6,516.5,507.4,498.3
1995,8,433.6,426.6,419.5,412.5,405.5,398.5,391.5,384.5
1995,9,537.9,529.2,520.5,511.8,503.1,494.4,485.7,477
1995,10,86.5,85.1,83.7,82.3,80.9,79.5,78.1,76.7
1995,11,75.9,74.6,73.4,72.2,71,69.7,68.5,67.3
1995,12,14.2,14,13.7,13.5,13.3,13,12.8,12.6
1996,1,33.3,32.8,32.2,31.7,31.2,30.6,30.1,29.5
1996,2,0,0,0,0,0,0,0,0
1996,3,92.4,90.9,89.4,87.9,86.4,84.9,83.4,81.9
1996,4,338.7,330.9,323.2,315.5,307.8,300,292.3,284.6
1996,5,355.8,347.7,339.5,331.4,323.3,315.2,307.1,299
1996,6,261.8,255.9,249.9,243.9,238,232,226,220
1996,7,469.4,458.7,448,437.3,426.6,415.9,405.2,394.5
1996,8,176.6,172.6,168.6,164.5,160.5,156.5,152.5,148.4
1996,9,257,251.2,245.3,239.4,233.6,227.7,221.8,216
1996,10,86.5,84.5,82.5,80.6,78.6,76.6,74.6,72.7
1996,11,211.6,206.8,202,197.2,192.3,187.5,182.7,177.8
1996,12,113.1,110.5,107.9,105.4,102.8,100.2,97.6,95
1997,1,7.1,6.9,6.8,6.6,6.4,6.3,6.1,6
1997,2,0,0,0,0,0,0,0,0
1997,3,7.8,7.6,7.5,7.3,7.1,6.9,6.7,6.6
1997,4,906.3,895.7,885.1,874.5,864,853.4,842.8,832.2
1997,5,801.4,792,782.7,773.3,763.9,754.6,745.2,735.9
1997,6,199.7,197.4,195.1,192.7,190.4,188.1,185.7,183.4
1997,7,362.3,358.1,353.8,349.6,345.4,341.1,336.9,332.7
1997,8,469.2,463.8,458.3,452.8,447.3,441.8,436.4,430.9
1997,9,702.3,694.1,685.9,677.7,669.5,661.3,653.1,644.9
1997,10,548.5,542.1,535.7,529.3,522.9,516.4,510,503.6
1997,11,358.4,354.2,350,345.9,341.7,337.5,333.3,329.1
1997,12,101.5,100.3,99.2,98,96.8,95.6,94.4,93.2
1998,1,0,0,0,0,0,0,0,0
1998,2,0,0,0,0,0,0,0,0
1998,3,13.6,13.4,13.3,13.1,13,12.8,12.6,12.5
1998,4,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.4
1998,5,653,644.1,635.3,626.4,617.6,608.7,599.9,591.1
1998,6,791.4,780.7,769.9,759.2,748.5,737.8,727.1,716.3
1998,7,726.8,717,707.1,697.3,687.4,677.6,667.8,657.9
1998,8,888.6,876.6,864.6,852.5,840.5,828.5,816.4,804.4
1998,9,364.3,359.4,354.4,349.5,344.6,339.6,334.7,329.8
1998,10,49.6,49,48.3,47.6,47,46.3,45.6,44.9
1998,11,0,0,0,0,0,0,0,0
1998,12,69.9,69,68,67.1,66.1,65.2,64.2,63.3
1999,1,66.5,65.6,64.7,63.8,62.9,62,61.1,60.2
1999,2,186.6,184.1,181.6,179.1,176.5,174,171.5,168.9
1999,3,47.4,46.7,46.1,45.5,44.8,44.2,43.5,42.9
1999,4,55.7,54.1,52.5,50.9,49.2,47.6,46,44.4
1999,5,185.6,180.2,174.8,169.4,164,158.6,153.1,147.7
1999,6,847.5,822.8,798,773.3,748.6,723.9,699.2,674.5
1999,7,209.6,203.5,197.4,191.3,185.2,179,172.9,166.8
1999,8,119.5,116,112.5,109,105.5,102.1,98.6,95.1
1999,9,280.6,272.5,264.3,256.1,247.9,239.7,231.6,223.4
1999,10,41.7,40.5,39.2,38,36.8,35.6,34.4,33.2
