Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,ProduccionBase_recorder,dolar_recorder,mil_recorder,BeneficiosTotales,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,BeneficioMgHe_recorder
2023-02,0.035714,181.24893915099838,869.0172587866078,1129.3336287996997,482.9956281456766,3206.3731995869266,369.499536,2628.0372260553536,543.5722816419601,22.26842186688,-336.86680930000006,760.3,1000.0,0.0,440009.67373208073,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,438656.6421266034,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,62.23045539
2023-03,0.032258,136.9215733024656,756.5398919543585,983.1633754955698,415.4295088758497,1958.4812243167241,369.499536,1728.2539885965418,362.38152109464,14.845614577920001,-216.95170269999997,760.3,1000.0,0.0,257334.45660522036,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,451026.1609091499,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,62.23045539
2023-04,0.033333,210.15545602550398,779.4680116590445,1012.9596728255003,466.5145696574839,2318.029611316103,282.3187597632,1139.5184642281818,241.58768072976002,9.897076385280002,-215.3461566,760.3,1000.0,0.0,121635.33482000147,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,261148.81087596196,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,60.37126433
2023-05,0.032258,258.78038626123197,898.50733196184,1167.6575297531233,557.1899639147518,2789.9437744819024,141.15937988159996,572.9671229432323,120.79384036488003,4.948538192640001,-210.06241430000003,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,124910.24351255587,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,60.37126433
2023-06,0.033333,341.0275851800928,848.5703168759198,1102.761752496465,561.368711057834,2681.5315478648695,141.1593798816,3703.1644084433356,764.838837258203,364.07462465378177,-350.279736,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,1271.4514235805327,7077840.468690896,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,60.37126433
2023-07,0.032258,390.88403981019366,890.4128126653937,1157.1382762423143,602.3420741542383,3129.9184157400673,141.15937988159996,4354.134917691562,899.2679057935029,439.0336500674908,-387.23443430000003,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1637.4543462771999,8555171.254640877,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,53.95991086
2023-08,0.032258,398.6973834769727,742.3135842051537,964.6755404239583,527.1615565313177,2872.06768249848,141.15937988159996,4113.1009061858895,849.3722927290775,411.2113452008411,-355.4754075,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1271.4514235805327,8006835.049777808,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,53.95991086
2023-09,0.033333,345.3016108741056,705.8925383647779,917.3444759972023,483.9307600402892,2640.396974014687,211.7390698224,3217.419100262723,664.2476953618838,276.7803015241079,-315.43192989999994,760.3,1000.0,0.0,43502.856315001074,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,1271.4514235805327,5308635.170530807,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,53.95991086
2023-10,0.032258,316.7391595786703,698.7548197278727,908.0686352609405,459.7929497471446,3027.2179365633892,369.499536,2049.0477414023426,422.7784412770801,17.319883674240003,-266.7484698,760.3,1000.0,0.0,232151.75190609047,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,45959.03783441687,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,46.68164264
2023-11,0.033333,233.09065718056797,888.7359163791599,1154.9590613315568,517.9845883113214,4002.044666007231,369.499536,2630.231303316821,543.57228164196,22.26842186688,-345.40942689999997,760.3,1000.0,0.0,383082.0345450032,0.0,0.0,0.0,0.0,0.0,0.0,7368.544558247406,236601.83188862234,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,46.68164264
2023-12,0.032258,177.8588665094736,867.7278014890321,1127.6579112298475,482.3918652446209,3589.173445551874,369.499536,2901.2348475307945,603.9692018243998,24.742690963200005,-327.23341539999996,760.3,1000.0,0.0,438952.6170087007,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,390450.57910325064,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,46.68164264
