Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
2030-05,0.032258,127.03231722630241,409.30217655578804,531.9097033478698,247.52068662699395,1239.2925326142604,141.1593798816,923.681032804046,233.1367823608446,67.59211324586636,38759.03476622528,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,1202140.3737036488,1234611.5955661044,1.574074074074074e-05,0.0,0.0,0.0,0.0,1.0,1.0,0.9999,0.0542883618166907,4851503317.679403
2030-06,0.033333,299.2233669114096,680.1665080322797,883.9121466662775,481.4253459179299,2507.117623136244,141.15937988160024,2782.599790586652,702.9249380320381,329.5508003342133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0039400315673,39504.562234426114,6397427.293165547,1.574074074074074e-05,1.0,0.0,0.0,1.0,0.0,0.0,0.9999,0.0542883618166907,6652717753.817686
2030-07,0.032258,603.4469532426715,1029.6056496146398,1338.0266879112667,720.5173156581119,4797.152381571942,141.15937988159996,6147.238490441523,1553.0367038423906,803.5818276424044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,1094.0039400315673,15739873.066344056,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6992986421.042643
2030-08,0.032258,476.5047842030242,981.3215791692714,1275.278999142202,695.5876973517693,4044.1179418534725,141.1593798816,479.3338354320954,120.79384036487987,4.948538192640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,745.5274682008312,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6994116670.772005
2030-09,0.033333,418.7207982030498,781.8728717184059,1016.0849149425396,531.8249115346758,2709.7758097799338,211.73906982239993,795.4959244537322,181.19076054731974,7.4228072889600005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.00591004735,745.5274682008312,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6994116670.772005
2030-10,0.032258,437.1651171928639,821.7137738138758,1067.860262420626,564.6572196791659,3021.1979502239456,369.499536,1917.2677160431854,422.77844127708033,17.319883674240003,133807.66168178842,0.0,0.0,0.0,0.0,0.0,0.0,2609.3461387029165,1641.00591004735,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6992986421.042643
2030-11,0.033333,400.512867791575,952.4170860993369,1237.7160903308586,622.5062119129733,5790.221837738736,369.499536,2481.1129185648942,543.5722816419601,22.26842186688,275451.0692451373,0.0,0.0,0.0,0.0,0.0,0.0,4923.017730142055,136417.00782049133,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6657370921.010458
2030-12,0.032258,250.70060462055898,895.4340841288082,1163.6636825741562,525.6081531033984,4918.5430193924,369.499536,2802.0475289115593,603.9692018244004,24.742690963200005,348719.6186311264,0.0,0.0,0.0,0.0,0.0,0.0,3727.637341004156,280374.0869752793,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,6471210335.852101
2031-01,0.032258,185.75234189772664,870.7301853665768,1131.5596669719737,485.4189504745732,5045.69789290597,369.499536,2787.2089423998764,603.9692018244003,24.742690963200005,385006.4090311264,0.0,0.0,0.0,0.0,0.0,0.0,3727.637341004156,352447.2559721306,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6379795386.25368
2031-02,0.035714,185.3767244533222,870.5873144885751,1131.3739987525314,486.9277252600314,3129.269826073033,369.499536,2487.560495491452,543.5722816419603,22.26842186688,375255.1064674177,0.0,0.0,0.0,0.0,0.0,0.0,8396.27462077501,388734.0463721306,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6315870827.672548
2031-03,0.032258,130.7789760283746,726.6646388920371,944.3389130225345,399.204682332822,1875.3981501598466,369.499536,1626.476277370325,362.38152109463965,14.845614577920001,226055.2162986758,0.0,0.0,0.0,0.0,0.0,0.0,2236.5824046024936,383651.3810881927,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6327284420.78959
2031-04,0.033333,182.97728021849792,722.7113171592684,939.2013635283918,426.2246587929464,2047.3790632095852,282.3187597632,1063.2524412446621,241.58768072976014,9.897076385280002,146324.1822422833,0.0,0.0,0.0,0.0,0.0,0.0,2188.0078800631345,228291.7987032783,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6330400400.215368
2031-05,0.032258,241.1443960117642,648.9871534249205,843.3929356536825,423.7226527113218,2208.156976172945,141.1593798816,7739.038530538615,1754.816432550054,850.4752032000002,2254.8619662252895,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,148512.19012234645,17957365.223720636,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6369340148.13577
2031-06,0.033333,280.96084676468104,898.0247895557729,1167.0304405198735,557.8162909013795,2731.3902992476187,141.1593798816,478.73139768295033,120.79384036487993,4.948538192639998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0039400315673,3000.3894344261207,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05121543567612331,6974255303.279396
